src_value,dst_value,relation,confidence
bild.asia,dell.ns.cloudflare.com,USES_NS,0.90
bild.asia,arturo.ns.cloudflare.com,USES_NS,0.90
bild.vip,dell.ns.cloudflare.com,USES_NS,0.90
bild.vip,arturo.ns.cloudflare.com,USES_NS,0.90
reuters.cfd,dell.ns.cloudflare.com,USES_NS,0.90
reuters.cfd,arturo.ns.cloudflare.com,USES_NS,0.90
spiegel.fun,dell.ns.cloudflare.com,USES_NS,0.90
spiegel.fun,arturo.ns.cloudflare.com,USES_NS,0.90
tonline.cfd,dell.ns.cloudflare.com,USES_NS,0.90
tonline.cfd,arturo.ns.cloudflare.com,USES_NS,0.90
tonline.life,dell.ns.cloudflare.com,USES_NS,0.90
tonline.life,arturo.ns.cloudflare.com,USES_NS,0.90
bild.pics,grace.ns.cloudflare.com,USES_NS,0.90
bild.pics,dean.ns.cloudflare.com,USES_NS,0.90
blld.live,grace.ns.cloudflare.com,USES_NS,0.90
blld.live,dean.ns.cloudflare.com,USES_NS,0.90
dailymail.cfd,grace.ns.cloudflare.com,USES_NS,0.90
dailymail.cfd,dean.ns.cloudflare.com,USES_NS,0.90
spiegeli.life,grace.ns.cloudflare.com,USES_NS,0.90
spiegeli.life,dean.ns.cloudflare.com,USES_NS,0.90
t-onlinr.life,grace.ns.cloudflare.com,USES_NS,0.90
t-onlinr.life,dean.ns.cloudflare.com,USES_NS,0.90
20minuts.com,plato.ns.cloudflare.com,USES_NS,0.90
20minuts.com,joselyn.ns.cloudflare.com,USES_NS,0.90
ansa.ltd,plato.ns.cloudflare.com,USES_NS,0.90
ansa.ltd,joselyn.ns.cloudflare.com,USES_NS,0.90
faz.ltd,plato.ns.cloudflare.com,USES_NS,0.90
faz.ltd,joselyn.ns.cloudflare.com,USES_NS,0.90
nd-aktuell.net,plato.ns.cloudflare.com,USES_NS,0.90
nd-aktuell.net,joselyn.ns.cloudflare.com,USES_NS,0.90
tagesspiegel.ltd,plato.ns.cloudflare.com,USES_NS,0.90
tagesspiegel.ltd,joselyn.ns.cloudflare.com,USES_NS,0.90
theguardian.co.com,plato.ns.cloudflare.com,USES_NS,0.90
theguardian.co.com,joselyn.ns.cloudflare.com,USES_NS,0.90
welt.ltd,plato.ns.cloudflare.com,USES_NS,0.90
welt.ltd,joselyn.ns.cloudflare.com,USES_NS,0.90
spiegelr.today,sima.ns.cloudflare.com,USES_NS,0.90
spiegelr.today,leonard.ns.cloudflare.com,USES_NS,0.90
t-onlinl.life,sima.ns.cloudflare.com,USES_NS,0.90
t-onlinl.life,leonard.ns.cloudflare.com,USES_NS,0.90
rbk.today,rosemary.ns.cloudflare.com,USES_NS,0.90
rbk.today,giancarlo.ns.cloudflare.com,USES_NS,0.90
bild.asia,46.246.96.73,RESOLVES_TO,0.90
spiegel.fun,46.246.96.73,RESOLVES_TO,0.90
faz.ltd,206.54.190.198,RESOLVES_TO,0.90
welt.ltd,206.54.190.198,RESOLVES_TO,0.90
faz.agency,89.223.120.166,RESOLVES_TO,0.85
welt.media,206.54.190.198,RESOLVES_TO,0.85
news.tagesspiegel.ltd,www.nd-aktuell.net,REDIRECTS_TO,0.90
news.faz.ltd,www.faz.ltd,REDIRECTS_TO,0.90
news.faz.agency,www.faz.ltd,REDIRECTS_TO,0.90
news.welt.ltd,www.welt.ltd,REDIRECTS_TO,0.90
