source_id,publisher,title,published_at,url,accessed_at,content_sha256,verification_status,usage
NKSC-152827,Lithuanian National Cyber Security Centre,Brief Review of Cyber Incident Analysis No. 152827,2018-01-29,https://www.nksc.lt/doc/en/analysis/2018_01_29_Brief_review_of_an_incident_analysis.pdf,2026-07-13,,primary_public_source,Reference event and IOC validation
NKSC-163811,Lithuanian National Cyber Security Centre,Brief Review of Cyber Incident Analysis No. 163811,2019-04-30,https://www.nksc.lt/doc/en/analysis/2019_04_30_Brief_targeted_attack_analysis.pdf,2026-07-13,,primary_public_source,Reference event and IOC validation
MANDIANT-GW-2020,Mandiant,Ghostwriter Influence Campaign,2020-07-28,https://cloud.google.com/blog/topics/threat-intelligence/ghostwriter-influence-campaign/,2026-07-13,,publisher_page,Campaign label for reference events
MANDIANT-GW-2021,Mandiant,Ghostwriter Update: Cyber Espionage Group UNC1151 Likely Conducts Ghostwriter Influence Activity,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,2026-07-13,9301446dc333e85da5f116db52f0aba9abd72f27bc888833d4b748d94d6c42c4,publisher_page_plus_local_report_hash,Holdout events and technical annex IOCs
META-CIB-2022,Meta,Removing Coordinated Inauthentic Behavior From China and Russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,2026-07-13,,primary_publisher_report,Doppelganger reference events
VIGINUM-RRN-2023,VIGINUM/SGDSN,RRN: A Complex and Persistent Information Manipulation Campaign,2023-07-19,https://www.sgdsn.gouv.fr/files/files/Publications/20230719_NP_VIGINUM_RAPPORT-CAMPAGNE-RRN_EN.pdf,2026-07-13,,government_primary_report,Doppelganger holdout events and domains
MANDIANT-DRAGONBRIDGE-2022,Mandiant,Pro-PRC DRAGONBRIDGE Influence Campaign Leverages New TTPs,2022-10-26,https://cloud.google.com/blog/topics/threat-intelligence/prc-dragonbridge-influence-elections/,2026-07-13,,primary_publisher_report,Dragonbridge reference events and account IOC
MANDIANT-GLASSBRIDGE-2024,Google Threat Intelligence Group,Seeing Through a GLASSBRIDGE,2024-11-22,https://cloud.google.com/blog/topics/threat-intelligence/glassbridge-pro-prc-influence-operations,2026-07-13,,primary_publisher_report,Dragonbridge holdout events
MICROSOFT-MTAC-2024,Microsoft Threat Analysis Center,Russia Ramps Up malign disinformation operations against France and U.S. elections,2024-04-17,https://blogs.microsoft.com/on-the-issues/2024/04/17/russia-us-election-interference-deepfakes-ai/,2026-07-13,,primary_publisher_report,Storm-1516 reference event and infrastructure
MICROSOFT-ELECTIONS-2024,Microsoft Threat Analysis Center,Securing US Elections from Nation-State Adversaries,2024-09-18,https://blogs.microsoft.com/on-the-issues/2024/09/18/securing-us-elections-from-nation-state-adversaries/,2026-07-13,,primary_publisher_report,Storm-1516 reference event
VIGINUM-STORM1516-2025,VIGINUM/SGDSN,Storm-1516: A Russian Information Manipulation Campaign Targeting Germany,2025-05-07,https://www.sgdsn.gouv.fr/files/files/Publications/20250507_TLP-CLEAR_NP_SGDSN_VIGINUM_Technical%20report_Storm-1516.pdf,2026-07-13,,government_primary_report,Storm-1516 holdout events and infrastructure
